Name, Surname, BirthYear, BirthMonth, Nationality, WorldCup, ChampionsLeague, BallonDor, EuropeanWinner, Teams,
Pedri, , 2002, 11, Spain, 0, 0, 0, 0, Barcelona,
Jamal, Musiala, 2003, 02, Germany, 0, 0, 0, 0, Bayern,
Luis, Figo, 1972, 11, Portugal, 0, 1, 1, 0, Sporting Barcelona Real_Madrid Inter,
Javier, Zanetti, 1973, 08, Argentina, 0, 1, 0, 0, Inter,
Petr, Cech, 1982, 05, Czech_Republic, 0, 1, 0, 0, Chelsea Arsenal,
Peter, Schmeichel, 1963, 11, Denmark, 0, 1, 0, 1, Manchester_United Manchester_City Sporting,
Roberto, Carlos, 1973, 04, Brazil, 1, 1, 0, 0, Inter Real_Madrid,
Hristo, Stoichkov, 1966, 02, Bulgaria, 0, 1, 1, 0, Barcelona,
Sergio, Busquets, 1988, 07, Spain, 1, 1, 0, 1, Barcelona,
Phillip, Lahm, 1983, 11, Germany, 1, 1, 0, 0, Bayern,
Frank, Rijkaard, 1962, 09, Netherlands, 0, 1, 0, 1, AC_Milan,
Eric, Cantona, 1966, 05, France, 0, 0, 0, 0, Manchester_United,
Cafu, , 1970, 06, Brazil, 1, 1, 0, 0, AC_Milan,
Ronald, Koeman, 1963, 03, Netherlands, 0, 1, 0, 1, Barcelona,
Rivaldo, , 1972, 04, Brazil, 1, 1, 1, 0, Barcelona AC_Milan,
Romario, , 1966, 01, Brazil, 1, 0, 1, 0, Barcelona,
Lothar, Matthaus, 1961, 03, Germany, 1, 0, 1, 1, Bayern Inter,
Diego, Maradona, 1960, 10, Argentina, 1, 0, 1, 0, Barcelona,
Michel, Platini, 1955, 06, France, 0, 1, 1, 1, Juventus,
Ruud, Gullit, 1962, 09, Netherlands, 0, 1, 1, 1, AC_Milan Chelsea,
Van, Basten, 1964, 10, Netherlands, 0, 1, 1, 1, AC_Milan,
Roberto, Baggio, 1967, 02, Italy, 0, 0, 1, 0, Juventus AC_Milan Inter,
Eusebio, , 1942, 01, Portugal, 0, 1, 1, 0, Benfica,
Franz, Beckenbauer, 1945, 09, Germany, 1, 1, 1, 1, Bayern,
Johan, Cruyff, 1947, 04, Netherlands, 0, 1, 1, 0, Barcelona AC_Milan,
